1,2,3
Table: RackPositionPlausi Dependency,,
Interface,Sender/Server,Receiver/Client
lEsRackPosLeft,RackPositionPlausi,EndStop
lEsRackPosRight,RackPositionPlausi,EndStop
lRackPosition2ES,RackPositionPlausi,EndStop
wSteeringAngleLeftEnd,RackPositionPlausi,EndStop|EndStopCheckPlausi
wSteeringAngleNotCorr,RackPositionPlausi,RackPosCorr
wSteeringAngleNotCorr_2,RackPositionPlausi,RackPosCorr
wSteeringAngleRightEnd,RackPositionPlausi,EndStop|EndStopCheckPlausi
sESLearnStateLeftNVW,NVRam(sESLearnStateLeftNVR),RackPositionPlausi
sESLearnStateRightNVW,NVRam(sESLearnStateRightNVR),RackPositionPlausi
sRPSErrCode,RPS,RackPositionPlausi
sTASAngleInitState,TAS,RackPositionPlausi
wCombAbsAngle,TAS,RackPositionPlausi
wEsStrAngleLeftNVW,NVRam(wEsStrAngleLeftNVR),RackPositionPlausi
wEsStrAngleRightNVW,NVRam(wEsStrAngleRightNVR),RackPositionPlausi
wRelRotorPosition,RPS,RackPositionPlausi
wSteeringAngleNotCorr4Check,RackPosition,RackPositionPlausi
wSteeringAngleOffsetNVW,NVRam(wSteeringAngleOffsetNVR),RackPositionPlausi
ErrReaI_Indicator,ErrorReaction,RackPositionPlausi
Event_DemEvent_AppPlausiCheckErr,N/A,RackPositionPlausi
Event_DemEvent_AppSteerAngErrorNotInit,N/A,RackPositionPlausi
RDII_ReadCheckRedundantRamS16,N/A,RackPositionPlausi
WdgMonI_RunnCPR,WdgMMonitor,RackPositionPlausi
,,
Table: IoHwAbifRte Dependency,,
Interface,Sender/Server,Receiver/Client
xDutyCycleU,IoHwAbifRte,MosfetTemperatureCalculation(xPWMDutyU)
xDutyCycleV,IoHwAbifRte,MosfetTemperatureCalculation(xPWMDutyV)
xDutyCycleW,IoHwAbifRte,MosfetTemperatureCalculation(xPWMDutyW)
IoHwAbI_GetCSS0,IoHwAbifRte,MemProt
IoHwAbI_GetStatOfIGN,IoHwAbifRte,IgnitionCalculation
IoHwAbI_McuSoftSysReset,IoHwAbifRte,UDSServices
ErrReaI_Indicator,ErrorReaction,IoHwAbifRte
Event_DemEvent_ADCResult,N/A,IoHwAbifRte
Event_DemEvent_ADC_CSD,N/A,IoHwAbifRte
Event_DemEvent_DMA,N/A,IoHwAbifRte
Event_DemEvent_MCUEVR_Monit,N/A,IoHwAbifRte
Event_DemEvent_MCUHardwareError,N/A,IoHwAbifRte
SSM_EventNotify,SystemStateMachine,IoHwAbifRte
WdgMonI_RunnCPR,WdgMMonitor,IoHwAbifRte
,,
Table: StartApplication Dependency,,
Interface,Sender/Server,Receiver/Client
Request_ESH_RunRequest_0,StartApplication,N/A
UR_CN_EPS_7288cddd,N/A,StartApplication
,,
Table: StateMachineCallbacks Dependency,,
Interface,Sender/Server,Receiver/Client
,,
,,
Table: OverTemperatureProtection Dependency,,
Interface,Sender/Server,Receiver/Client
xMotTrqLim,OverTemperatureProtection,N/A
cMcuTemp,TempDrv,OverTemperatureProtection
cMosTemp,MosfetTemperatureCalculation,OverTemperatureProtection
cMotorTemp,MotTemp(cMotCtrl_CoilTemp),OverTemperatureProtection
cNtcTemp,TempDrv,OverTemperatureProtection
cPCBTemp,MosfetTemperatureCalculation,OverTemperatureProtection
sSystemState,SystemStateMachine,OverTemperatureProtection
Event_DemEvent_AppMosfetOverTempReduction,N/A,OverTemperatureProtection
SSM_EventClear,SystemStateMachine,OverTemperatureProtection
SSM_EventNotify,SystemStateMachine,OverTemperatureProtection
TLC_SetMotChar,TorqueLimitationCoServer,OverTemperatureProtection
TRCGet,TRC,OverTemperatureProtection
TRCSet,TRC,OverTemperatureProtection
WdgMonI_RunnCPR,WdgMMonitor,OverTemperatureProtection
,,
Table: TempDrv Dependency,,
Interface,Sender/Server,Receiver/Client
cMcuTemp,TempDrv,EpsOutput|EpsSicPage|ErrorHandler|MosfetTemperatureCalculation|OverTemperatureProtection|UDSServices
cNtcTemp,TempDrv,EpsSicPage|ErrorHandler|MosfetTemperatureCalculation|MotTemp|OverTemperatureProtection|ParaUpd
Event_DemEvent_TmpDrvMCUOutOfRange,N/A,TempDrv
Event_DemEvent_TmpDrvNTCOutOfRange,N/A,TempDrv
WdgMonI_RunnCPR,WdgMMonitor,TempDrv
,,
Table: BatteryStatus Dependency,,
Interface,Sender/Server,Receiver/Client
BatSnapMaxNegVoltDiff,BatteryStatus,ErrorHandler
BatSnapMaxPosVoltDiff,BatteryStatus,ErrorHandler
BatSnapPowerChkInitVolt,BatteryStatus,ErrorHandler
BatSnapPowerChkMaxVolt,BatteryStatus,ErrorHandler
BatSnapVbat1Now,BatteryStatus,ErrorHandler
BatSnapVbatNow,BatteryStatus,ErrorHandler
VBAT1GradValueOffsetValueNVW,BatteryStatus,NVRam
VBATGradValueOffsetValueNVW,BatteryStatus,NVRam
