Table: RackPositionPlausi Dependency,,
Interface,Sender/Server,Receiver/Client
lEsRackPosLeft,RackPositionPlausi,EndStop
lEsRackPosRight,RackPositionPlausi,EndStop
lRackPosition2ES,RackPositionPlausi,EndStop
wSteeringAngleLeftEnd,RackPositionPlausi,EndStop|EndStopCheckPlausi
wSteeringAngleNotCorr,RackPositionPlausi,RackPosCorr
wSteeringAngleNotCorr_2,RackPositionPlausi,RackPosCorr
wSteeringAngleRightEnd,RackPositionPlausi,EndStop|EndStopCheckPlausi
sESLearnStateLeftNVW,NVRam(sESLearnStateLeftNVR),RackPositionPlausi
sESLearnStateRightNVW,NVRam(sESLearnStateRightNVR),RackPositionPlausi
sRPSErrCode,RPS,RackPositionPlausi
sTASAngleInitState,TAS,RackPositionPlausi
wCombAbsAngle,TAS,RackPositionPlausi
wEsStrAngleLeftNVW,NVRam(wEsStrAngleLeftNVR),RackPositionPlausi
wEsStrAngleRightNVW,NVRam(wEsStrAngleRightNVR),RackPositionPlausi
wRelRotorPosition,RPS,RackPositionPlausi
wSteeringAngleNotCorr4Check,RackPosition,RackPositionPlausi
wSteeringAngleOffsetNVW,NVRam(wSteeringAngleOffsetNVR),RackPositionPlausi
ErrReaI_Indicator,ErrorReaction,RackPositionPlausi
Event_DemEvent_AppPlausiCheckErr,N/A,RackPositionPlausi
Event_DemEvent_AppSteerAngErrorNotInit,N/A,RackPositionPlausi
RDII_ReadCheckRedundantRamS16,N/A,RackPositionPlausi
WdgMonI_RunnCPR,WdgMMonitor,RackPositionPlausi

Table: BatteryStatus Dependency,,
Interface,Sender/Server,Receiver/Client
BatSnapMaxNegVoltDiff,BatteryStatus,ErrorHandler
BatSnapMaxPosVoltDiff,BatteryStatus,ErrorHandler
BatSnapPowerChkInitVolt,BatteryStatus,ErrorHandler
BatSnapPowerChkMaxVolt,BatteryStatus,ErrorHandler
BatSnapVbat1Now,BatteryStatus,ErrorHandler
BatSnapVbatNow,BatteryStatus,ErrorHandler
VBAT1GradValueOffsetValueNVW,BatteryStatus,NVRam
VBATGradValueOffsetValueNVW,BatteryStatus,NVRam
uBatteryVoltage,BatteryStatus,BatteryMonitoring|EpsSicPage|ErrorHandler|MosfetTemperatureCalculation(uBatteryVol)|NetworkManagement|SupplyVoltageReduction(uSupplyVoltage)|SystemStateMachine|UDSServices
uCoreVolt,BatteryStatus,EpsSicPage
VBAT1GradValueOffsetValueNVR,NVRam,BatteryStatus
VBATGradValueOffsetValueNVR,NVRam,BatteryStatus
ErrReaI_Indicator,ErrorReaction,BatteryStatus
Event_DemEvent_BatInitVoltOutOfRange,N/A,BatteryStatus
Event_DemEvent_BatVoltVerifyErr,N/A,BatteryStatus
WdgMonI_RunnCPR,WdgMMonitor,BatteryStatus

Table: OutputStage Dependency,,
Interface,Sender/Server,Receiver/Client
Current45Gain25354050_UPhaseCurrCompFactorNVW,OutputStage,NVRam
Current45Gain25354050_VPhaseCurrCompFactorNVW,OutputStage,NVRam
Current45Gain25354050_WPhaseCurrCompFactorNVW,OutputStage,NVRam
Current80Gain25354050_UPhaseCurrCompFactorNVW,OutputStage,NVRam
Current80Gain25354050_VPhaseCurrCompFactorNVW,OutputStage,NVRam
Current80Gain25354050_WPhaseCurrCompFactorNVW,OutputStage,NVRam
Gain25_UWVPhaseZeroCurrentDeviaNVW,OutputStage,NVRam
Gain35_UWVPhaseZeroCurrentDeviaNVW,OutputStage,NVRam
Gain40_UWVPhaseZeroCurrentDeviaNVW,OutputStage,NVRam
Gain50_UWVPhaseZeroCurrentDeviaNVW,OutputStage,NVRam
HighTempCurrent45Gain25354050_UPhaseCurrCompFactorNVW,OutputStage,NVRam
HighTempCurrent45Gain25354050_VPhaseCurrCompFactorNVW,OutputStage,NVRam
HighTempCurrent45Gain25354050_WPhaseCurrCompFactorNVW,OutputStage,NVRam
HighTempCurrent80Gain25354050_UPhaseCurrCompFactorNVW,OutputStage,NVRam
HighTempCurrent80Gain25354050_VPhaseCurrCompFactorNVW,OutputStage,NVRam
HighTempCurrent80Gain25354050_WPhaseCurrCompFactorNVW,OutputStage,NVRam
HighTempGain25_UWVPhaseZeroCurrentDeviaNVW,OutputStage,NVRam
HighTempGain35_UWVPhaseZeroCurrentDeviaNVW,OutputStage,NVRam
HighTempGain40_UWVPhaseZeroCurrentDeviaNVW,OutputStage,NVRam
HighTempGain50_UWVPhaseZeroCurrentDeviaNVW,OutputStage,NVRam
PreDrvSnapAmpGain,OutputStage,ErrorHandler
PreDrvSnapDiag0Reg,OutputStage,ErrorHandler
PreDrvSnapDiag1Reg,OutputStage,ErrorHandler
PreDrvSnapDiag2Reg,OutputStage,ErrorHandler
PreDrvSnapDiagFailData,OutputStage,ErrorHandler
PreDrvSnapInitFailData,OutputStage,ErrorHandler
PreDrvSnapInitFailItem,OutputStage,ErrorHandler
PreDrvSnapInitFailSubType,OutputStage,ErrorHandler
PreDrvSnapInitTime,OutputStage,ErrorHandler
PreDrvSnapInitVolt,OutputStage,ErrorHandler
PreDrvSnapMotorRpm,OutputStage,ErrorHandler
PreDrvSnapNowVolt,OutputStage,ErrorHandler
PreDrvSnapStatusReg,OutputStage,ErrorHandler
PreDrvSnapVerifyResult0Reg,OutputStage,ErrorHandler
PreDrvSnapVerifyResult1Reg,OutputStage,ErrorHandler
PreDrvSnapWorkStateOrFailReason,OutputStage,ErrorHandler
fOutputStageEnable,OutputStage,SSMErrorCheck|SystemStateMachine
iPhaseCurrentU,OutputStage,EpsSicPage|ErrorHandler|MosfetTemperatureCalculation(iMosCurrentU)
iPhaseCurrentV,OutputStage,ErrorHandler|MosfetTemperatureCalculation(iMosCurrentV)
iPhaseCurrentW,OutputStage,EpsSicPage|ErrorHandler|MosfetTemperatureCalculation(iMosCurrentW)
Current45Gain25354050_UPhaseCurrCompFactorNVR,NVRam,OutputStage
Current45Gain25354050_VPhaseCurrCompFactorNVR,NVRam,OutputStage
Current45Gain25354050_WPhaseCurrCompFactorNVR,NVRam,OutputStage
Current80Gain25354050_UPhaseCurrCompFactorNVR,NVRam,OutputStage
Current80Gain25354050_VPhaseCurrCompFactorNVR,NVRam,OutputStage
Current80Gain25354050_WPhaseCurrCompFactorNVR,NVRam,OutputStage
Gain25_UWVPhaseZeroCurrentDeviaNVR,NVRam,OutputStage
Gain35_UWVPhaseZeroCurrentDeviaNVR,NVRam,OutputStage
Gain40_UWVPhaseZeroCurrentDeviaNVR,NVRam,OutputStage
Gain50_UWVPhaseZeroCurrentDeviaNVR,NVRam,OutputStage
HighTempCurrent45Gain25354050_UPhaseCurrCompFactorNVR,NVRam,OutputStage
HighTempCurrent45Gain25354050_VPhaseCurrCompFactorNVR,NVRam,OutputStage
HighTempCurrent45Gain25354050_WPhaseCurrCompFactorNVR,NVRam,OutputStage
HighTempCurrent80Gain25354050_UPhaseCurrCompFactorNVR,NVRam,OutputStage
HighTempCurrent80Gain25354050_VPhaseCurrCompFactorNVR,NVRam,OutputStage
HighTempCurrent80Gain25354050_WPhaseCurrCompFactorNVR,NVRam,OutputStage
HighTempGain25_UWVPhaseZeroCurrentDeviaNVR,NVRam,OutputStage
HighTempGain35_UWVPhaseZeroCurrentDeviaNVR,NVRam,OutputStage
HighTempGain40_UWVPhaseZeroCurrentDeviaNVR,NVRam,OutputStage
HighTempGain50_UWVPhaseZeroCurrentDeviaNVR,NVRam,OutputStage
fMotCtrlIRQ_ASCEnabFlag,DutyCal,OutputStage
wCombAbsAngle,TAS,OutputStage
PreDrvI_SetOutputStageOff,OutputStage,SSMErrorCheck|SystemStateMachine
PreDrvI_SetOutputStageOn,OutputStage,SystemStateMachine
ErrReaI_Indicator,ErrorReaction,OutputStage
Event_DemEvent_PreDrvBootstrapUnderVoltU,N/A,OutputStage
Event_DemEvent_PreDrvBootstrapUnderVoltV,N/A,OutputStage
Event_DemEvent_PreDrvBootstrapUnderVoltW,N/A,OutputStage
Event_DemEvent_PreDrvBridgeMosUHOpen,N/A,OutputStage
Event_DemEvent_PreDrvBridgeMosUHShort,N/A,OutputStage
Event_DemEvent_PreDrvBridgeMosULOpen,N/A,OutputStage
Event_DemEvent_PreDrvBridgeMosULShort,N/A,OutputStage
